Book, Chapter, Verse;Hebrew Codex;Length of Verse;Hebrew Verse Text;Total Letters (Cumulative);Difference(s)
(5, 22, 14);Leningrad Codex;73;ושם לה עלילת דברים והוציא עליה שם רע ואמר את האשה הזאת לקחתי ואקרב אליה ולא מצאתי לה בתולים;1259;כתיב יוד מלא
(5, 22, 14);Koren Codex;72;ושם לה עלילת דברים והוצא עליה שם רע ואמר את האשה הזאת לקחתי ואקרב אליה ולא מצאתי לה בתולים;1254;כתיב יוד חסר
(5, 23, 2);Leningrad Codex;29;לא יבא פצוע דכא וכרות שפכה בקהל יהוה;1288;כתיב אלף אם קריאה
(5, 23, 2);Koren Codex;29;לא יבא פצוע דכה וכרות שפכה בקהל יהוה;1283;כתיב האי אם קריאה
(5, 24, 13);Leningrad Codex;62;השב תשיב לו את העבוט כבא השמש ושכב בשלמתו וברכך ולך תהיה צדקה לפני יהוה אלהיך;1350;כתיב ואו חסר
(5, 24, 13);Koren Codex;63;השב תשיב לו את העבוט כבוא השמש ושכב בשלמתו וברכך ולך תהיה צדקה לפני יהוה אלהיך;1346;כתיב ואו מלא
(5, 25, 7);Leningrad Codex;87;ואם לא יחפץ האיש לקחת את יבמתו ועלתה יבמתו השערה אל הזקנים ואמרה מאין יבמי להקים לאחיו שם בישראל לא אבה יבמי;1437;כתיב יוד מלא
(5, 25, 7);Koren Codex;86;ואם לא יחפץ האיש לקחת את יבמתו ועלתה יבמתו השערה אל הזקנים ואמרה מאן יבמי להקים לאחיו שם בישראל לא אבה יבמי;1432;כתיב יוד חסר
(5, 28, 18);Leningrad Codex;39;ארור פרי בטנך ופרי אדמתך שגר אלפיך ועשתרות צאנך;1476;כתיב ואו מלא
(5, 28, 18);Koren Codex;38;ארור פרי בטנך ופרי אדמתך שגר אלפיך ועשתרת צאנך;1470;כתיב ואו חסר
(5, 28, 49);Leningrad Codex;55;ישא יהוה עליך גוי מרחוק מקצה הארץ כאשר ידאה הנשר גוי אשר לא תשמע לשנו;1531;כתיב ואו מלא
(5, 28, 49);Koren Codex;54;ישא יהוה עליך גוי מרחק מקצה הארץ כאשר ידאה הנשר גוי אשר לא תשמע לשנו;1524;כתיב ואו חסר
(5, 28, 52);Leningrad Codex;94;והצר לך בכל שעריך עד רדת חמתיך הגבהות והבצרות אשר אתה בטח בהן בכל ארצך והצר לך בכל שעריך בכל ארצך אשר נתן יהוה אלהיך לך;1625;כתיב ואו מלא
(5, 28, 52);Koren Codex;93;והצר לך בכל שעריך עד רדת חמתיך הגבהת והבצרות אשר אתה בטח בהן בכל ארצך והצר לך בכל שעריך בכל ארצך אשר נתן יהוה אלהיך לך;1617;כתיב ואו חסר
(5, 28, 58);Leningrad Codex;79;אם לא תשמר לעשות את כל דברי התורה הזאת הכתובים בספר הזה ליראה את השם הנכבד והנורא הזה את יהוה אלהיך;1704;כתיב ואו מלא
(5, 28, 58);Koren Codex;78;אם לא תשמר לעשות את כל דברי התורה הזאת הכתבים בספר הזה ליראה את השם הנכבד והנורא הזה את יהוה אלהיך;1695;כתיב ואו חסר
(5, 28, 59);Leningrad Codex;58;והפלא יהוה את מכתך ואת מכות זרעך מכות גדלות ונאמנות וחלים רעים ונאמנים;1762;כתיב ואו מלא
(5, 28, 59);Koren Codex;57;והפלא יהוה את מכתך ואת מכות זרעך מכות גדלת ונאמנות וחלים רעים ונאמנים;1752;כתיב ואו חסר
(5, 30, 9);Leningrad Codex;94;והותירך יהוה אלהיך בכל מעשה ידך בפרי בטנך ובפרי בהמתך ובפרי אדמתך לטובה כי ישוב יהוה לשוש עליך לטוב כאשר שש על אבתיך;1856;כתיב ואו מלא
(5, 30, 9);Koren Codex;93;והותירך יהוה אלהיך בכל מעשה ידך בפרי בטנך ובפרי בהמתך ובפרי אדמתך לטבה כי ישוב יהוה לשוש עליך לטוב כאשר שש על אבתיך;1845;כתיב ואו חסר
(5, 30, 18);Leningrad Codex;69;הגדתי לכם היום כי אבד תאבדון לא תאריכן ימים על האדמה אשר אתה עבר את הירדן לבא שמה לרשתה;1925;כתיב ואו חסר
(5, 30, 18);Koren Codex;70;הגדתי לכם היום כי אבד תאבדון לא תאריכן ימים על האדמה אשר אתה עבר את הירדן לבוא שמה לרשתה;1915;כתיב ואו מלא
(5, 30, 19);Leningrad Codex;83;העידתי בכם היום את השמים ואת הארץ החיים והמות נתתי לפניך הברכה והקללה ובחרת בחיים למען תחיה אתה וזרעך;2008;כתיב יוד מלא
(5, 30, 19);Koren Codex;82;העדתי בכם היום את השמים ואת הארץ החיים והמות נתתי לפניך הברכה והקללה ובחרת בחיים למען תחיה אתה וזרעך;1997;כתיב יוד חסר
(5, 32, 7);Leningrad Codex;51;זכר ימות עולם בינו שנות דור ודור שאל אביך ויגדך זקניך ויאמרו לך;2059;יש שתיים: כתיב ואו מלא וכתיב ואו מלא
(5, 32, 7);Koren Codex;49;זכר ימות עולם בינו שנות דר ודר שאל אביך ויגדך זקניך ויאמרו לך;2046;יש שתיים: כתיב ואו חסר וכתיב ואו חסר
(5, 32, 24);Leningrad Codex;49;מזי רעב ולחמי רשף וקטב מרירי ושן בהמות אשלח בם עם חמת זחלי עפר;2108;כתיב ואו מלא
(5, 32, 24);Koren Codex;48;מזי רעב ולחמי רשף וקטב מרירי ושן בהמת אשלח בם עם חמת זחלי עפר;2094;כתיב ואו חסר
(5, 32, 27);Leningrad Codex;57;לולי כעס אויב אגור פן ינכרו צרימו פן יאמרו ידינו רמה ולא יהוה פעל כל זאת;2165;כתיב יוד מלא
(5, 32, 27);Koren Codex;56;לולי כעס אויב אגור פן ינכרו צרימו פן יאמרו ידנו רמה ולא יהוה פעל כל זאת;2150;כתיב יוד חסר
(5, 32, 34);Leningrad Codex;23;הלא הוא כמס עמדי חתם באוצרתי;2188;כתיב ואו חסר
(5, 32, 34);Koren Codex;24;הלא הוא כמס עמדי חתום באוצרתי;2174;כתיב ואו מלא
(5, 33, 12);Leningrad Codex;55;לבנימן אמר ידיד יהוה ישכן לבטח עליו חפף עליו כל היום ובין כתיפיו שכן;2243;כתיב יוד מלא
(5, 33, 12);Koren Codex;54;לבנימן אמר ידיד יהוה ישכן לבטח עליו חפף עליו כל היום ובין כתפיו שכן;2228;כתיב יוד חסר
(5, 33, 19);Leningrad Codex;53;עמים הר יקראו שם יזבחו זבחי צדק כי שפע ימים יינקו ושפוני טמוני חול;2296;כתיב ואו מלא
(5, 33, 19);Koren Codex;52;עמים הר יקראו שם יזבחו זבחי צדק כי שפע ימים יינקו ושפני טמוני חול;2280;כתיב ואו חסר
(5, 33, 25);Leningrad Codex;25;ברזל ונחשת מנעליך וכימיך דבאך;2321;כתיב יוד מלא
(5, 33, 25);Koren Codex;24;ברזל ונחשת מנעלך וכימיך דבאך;2304;כתיב יוד חסר
(5, 34, 11);Leningrad Codex;63;לכל האתות והמופתים אשר שלחו יהוה לעשות בארץ מצרים לפרעה ולכל עבדיו ולכל ארצו;2384;כתיב ואו מלא
(5, 34, 11);Koren Codex;62;לכל האתת והמופתים אשר שלחו יהוה לעשות בארץ מצרים לפרעה ולכל עבדיו ולכל ארצו;2366;כתיב ואו חסר
;;;;;
;;;Difference Between Number of Letters in Leningrad Codex (Deuteronomy) vs. Koren Codex (Deuteronomy):;18;
;;;;;
;;;Leningrad Codex (Deuteronomy) - Number of Letters;54910;
;;;Koren Codex (Deuteronomy) - Number of Letters;54892;
;;;;;
;;;;18;
