Book, Chapter, Verse;Hebrew Codex;Length of Verse;Hebrew Verse Text;Total Letters (Cumulative);Difference(s)
(1, 41, 35);Koren Codex;61;ויקבצו את כל אכל השנים הטבות הבאת האלה ויצברו בר תחת יד פרעה אכל בערים ושמרו;857;כתיב ו מלא
(1, 45, 15);Leningrad Codex;39;וינשק לכל אחיו ויבך עליהם ואחרי כן דברו אחיו אתו;896;כתיב י מלא
(1, 45, 15);Koren Codex;38;וינשק לכל אחיו ויבך עלהם ואחרי כן דברו אחיו אתו;895;כתיב י חסר
(1, 46, 9);Leningrad Codex;29;ובני ראובן חנוך ופלוא וחצרון וכרמי;925;כתיב ו מלא
(1, 46, 9);Koren Codex;28;ובני ראובן חנוך ופלוא וחצרן וכרמי;923;כתיב ו חסר
(1, 46, 12);Leningrad Codex;68;ובני יהודה ער ואונן ושלה ופרץ וזרח וימת ער ואונן בארץ כנען ויהיו בני פרץ חצרון וחמול;993;כתיב ו מלא
(1, 46, 12);Koren Codex;67;ובני יהודה ער ואונן ושלה ופרץ וזרח וימת ער ואונן בארץ כנען ויהיו בני פרץ חצרן וחמול;990;כתיב ו חסר
(1, 46, 13);Leningrad Codex;27;ובני יששכר תולע ופוה ויוב ושמרון;1020;כתיב ו מלא
(1, 46, 13);Koren Codex;26;ובני יששכר תולע ופוה ויוב ושמרן;1016;כתיב ו חסר
(1, 46, 14);Leningrad Codex;23;ובני זבולן סרד ואלון ויחלאל;1043;יש שניים: כתיב ו מלא וכתיב ו חסר
(1, 46, 14);Koren Codex;23;ובני זבלון סרד ואלון ויחלאל;1039;יש שניים: כתיב ו חסר וכתיב ו מלא
(1, 49, 13);Leningrad Codex;42;זבולן לחוף ימים ישכן והוא לחוף אניות וירכתו על צידן;1085;כתיב ו מלא
(1, 49, 13);Koren Codex;41;זבולן לחוף ימים ישכן והוא לחוף אנית וירכתו על צידן;1080;כתיב ו חסר
;;;;;
;;;Difference Between Number of Letters in Leningrad Codex (Genesis) vs. Koren Codex (Genesis):;5;
;;;;;
;;;Leningrad Codex (Genesis) - Number of Letters;78069;
;;;Koren Codex (Genesis) - Number of Letters;78064;
;;;;5;
