Book, Chapter, Verse;Hebrew Codex;Length of Verse;Hebrew Verse Text;Total Letters (Cumulative);Difference(s)
(4, 13, 32);Koren Codex;100;ויציאו דבת הארץ אשר תרו אתה אל בני ישראל לאמר הארץ אשר עברנו בה לתור אתה ארץ אכלת יושביה הוא וכל העם אשר ראינו בתוכה אנשי מדות;1021;כתיב ואו חסר
(4, 15, 39);Leningrad Codex;91;והיה לכם לציצת וראיתם אתו וזכרתם את כל מצות יהוה ועשיתם אתם ולא תתרו אחרי לבבכם ואחרי עיניכם אשר אתם זנים אחריהם;1117;כתיב ואו חסר
(4, 15, 39);Koren Codex;92;והיה לכם לציצת וראיתם אתו וזכרתם את כל מצות יהוה ועשיתם אתם ולא תתורו אחרי לבבכם ואחרי עיניכם אשר אתם זנים אחריהם;1113;כתיב ואו מלא
(4, 19, 7);Leningrad Codex;54;וכבס בגדיו הכהן ורחץ בשרו במים ואחר יבוא אל המחנה וטמא הכהן עד הערב;1171;כתיב ואו מלא
(4, 19, 7);Koren Codex;53;וכבס בגדיו הכהן ורחץ בשרו במים ואחר יבא אל המחנה וטמא הכהן עד הערב;1166;כתיב ואו חסר
(4, 20, 17);Leningrad Codex;78;נעברה נא בארצך לא נעבר בשדה ובכרם ולא נשתה מי באר דרך המלך נלך לא נטה ימין ושמאול עד אשר נעבר גבולך;1249;כתיב ואו מלא
(4, 20, 17);Koren Codex;77;נעברה נא בארצך לא נעבר בשדה ובכרם ולא נשתה מי באר דרך המלך נלך לא נטה ימין ושמאול עד אשר נעבר גבלך;1243;כתיב ואו חסר
(4, 21, 13);Leningrad Codex;74;משם נסעו ויחנו מעבר ארנון אשר במדבר היצא מגבול האמרי כי ארנון גבול מואב בין מואב ובין האמרי;1323;כתיב ואו מלא
(4, 21, 13);Koren Codex;73;משם נסעו ויחנו מעבר ארנון אשר במדבר היצא מגבל האמרי כי ארנון גבול מואב בין מואב ובין האמרי;1316;כתיב ואו חסר
(4, 21, 30);Leningrad Codex;40;ונירם אבד חשבון עד דיבון ונשים עד נפח אשר עד מידבא;1363;כתיב ואו מלא
(4, 21, 30);Koren Codex;39;ונירם אבד חשבון עד דיבן ונשים עד נפח אשר עד מידבא;1355;כתיב ואו חסר
(4, 22, 38);Leningrad Codex;71;ויאמר בלעם אל בלק הנה באתי אליך עתה היכול אוכל דבר מאומה הדבר אשר ישים אלהים בפי אתו אדבר;1434;כתיב ואו מלא
(4, 22, 38);Koren Codex;70;ויאמר בלעם אל בלק הנה באתי אליך עתה היכל אוכל דבר מאומה הדבר אשר ישים אלהים בפי אתו אדבר;1425;כתיב ואו חסר
(4, 23, 29);Leningrad Codex;58;ויאמר בלעם אל בלק בנה לי בזה שבעה מזבחת והכן לי בזה שבעה פרים ושבעה אילים;1492;כתיב יוד מלא
(4, 23, 29);Koren Codex;57;ויאמר בלעם אל בלק בנה לי בזה שבעה מזבחת והכן לי בזה שבעה פרים ושבעה אילם;1482;כתיב יוד חסר
;Leningrad Codex;;There is no verse (4, 25, 19) in the Leningrad Codex.;1492;(4, 25, 19)
(4, 25, 19);Koren Codex;13;ויהי אחרי המגפה;1495;(4, 25, 19)
(4, 26, 1);Leningrad Codex;49;ויהי אחרי המגפה ויאמר יהוה אל משה ואל אלעזר בן אהרן הכהן לאמר;1541;ויהי אחרי המגפה
(4, 26, 1);Koren Codex;36;ויאמר יהוה אל משה ואל אלעזר בן אהרן הכהן לאמר;1531;ויהי אחרי המגפה
(4, 26, 24);Leningrad Codex;32;לישוב משפחת הישובי לשמרן משפחת השמרני;1573;כתיב ואו מלא
(4, 26, 24);Koren Codex;31;לישוב משפחת הישבי לשמרן משפחת השמרני;1562;כתיב ואו חסר
(4, 32, 22);Leningrad Codex;78;ונכבשה הארץ לפני יהוה ואחר תשבו והייתם נקיים מיהוה ומישראל והיתה הארץ הזאת לכם לאחזה לפני יהוה;1651;כתיב יוד מלא
(4, 32, 22);Koren Codex;77;ונכבשה הארץ לפני יהוה ואחר תשבו והייתם נקים מיהוה ומישראל והיתה הארץ הזאת לכם לאחזה לפני יהוה;1639;כתיב יוד חסר
(4, 33, 35);Leningrad Codex;25;ויסעו מעברנה ויחנו בעציון גבר;1676;כתיב ואו מלא
(4, 33, 35);Koren Codex;24;ויסעו מעברנה ויחנו בעצין גבר;1663;כתיב ואו חסר
(4, 33, 36);Leningrad Codex;32;ויסעו מעציון גבר ויחנו במדבר צן הוא קדש;1708;כתיב ואו מלא
(4, 33, 36);Koren Codex;31;ויסעו מעצין גבר ויחנו במדבר צן הוא קדש;1694;כתיב ואו חסר
(4, 33, 52);Leningrad Codex;75;והורשתם את כל ישבי הארץ מפניכם ואבדתם את כל משכיתם ואת כל צלמי מסכתם תאבדו ואת כל במתם תשמידו;1783;כתיב ואו חסר
(4, 33, 52);Koren Codex;76;והורשתם את כל ישבי הארץ מפניכם ואבדתם את כל משכיתם ואת כל צלמי מסכתם תאבדו ואת כל במותם תשמידו;1770;כתיב ואו מלא
(4, 34, 11);Leningrad Codex;53;וירד הגבל משפם הרבלה מקדם לעין וירד הגבול ומחה על כתף ים כנרת קדמה;1836;כתיב ואו מלא
(4, 34, 11);Koren Codex;52;וירד הגבל משפם הרבלה מקדם לעין וירד הגבל ומחה על כתף ים כנרת קדמה;1822;כתיב ואו חסר
(4, 35, 19);Leningrad Codex;35;גאל הדם הוא ימית את הרצח בפגעו בו הוא ימיתנו;1871;כתיב יוד מלא
(4, 35, 19);Koren Codex;34;גאל הדם הוא ימית את הרצח בפגעו בו הוא ימתנו;1856;כתיב יוד חסר
;;;;;
;;;Difference Between Number of Letters in Leningrad Codex (Numbers) vs. Koren Codex (Numbers):;15;
;;;;;
;;;Leningrad Codex (Numbers) - Number of Letters;63545;
;;;Koren Codex (Numbers) - Number of Letters;63530;
;;;;;
;;;;15;
