Book, Chapter, Verse;Hebrew Codex;Length of Verse;Hebrew Verse Text;Total Letters (Cumulative);Difference(s)
(2, 19, 11);Leningrad Codex;56;והיו נכנים ליום השלישי כי ביום השלישי ירד יהוה לעיני כל העם על הר סיני;574;כתיב יוד מלא
(2, 19, 11);Koren Codex;55;והיו נכנים ליום השלישי כי ביום השלשי ירד יהוה לעיני כל העם על הר סיני;569;כתיב יוד חסר
(2, 19, 19);Leningrad Codex;46;ויהי קול השופר הולך וחזק מאד משה ידבר והאלהים יעננו בקול;620;כתיב ואו מלא
(2, 19, 19);Koren Codex;45;ויהי קול השפר הולך וחזק מאד משה ידבר והאלהים יעננו בקול;614;כתיב ואו חסר
(2, 23, 22);Leningrad Codex;54;כי אם שמע תשמע בקלו ועשית כל אשר אדבר ואיבתי את איביך וצרתי את צרריך;674;כתיב ואו חסר
(2, 23, 22);Koren Codex;55;כי אם שמוע תשמע בקלו ועשית כל אשר אדבר ואיבתי את איביך וצרתי את צרריך;669;כתיב ואו מלא
(2, 25, 22);Leningrad Codex;78;ונועדתי לך שם ודברתי אתך מעל הכפרת מבין שני הכרבים אשר על ארן העדת את כל אשר אצוה אותך אל בני ישראל;752;כתיב ואו חסר
(2, 25, 22);Koren Codex;79;ונועדתי לך שם ודברתי אתך מעל הכפרת מבין שני הכרבים אשר על ארון העדת את כל אשר אצוה אותך אל בני ישראל;748;כתיב ואו מלא
(2, 25, 31);Leningrad Codex;64;ועשית מנרת זהב טהור מקשה תעשה המנורה ירכה וקנה גביעיה כפתריה ופרחיה ממנה יהיו;816;כתיב יוד חסר
(2, 25, 31);Koren Codex;65;ועשית מנרת זהב טהור מקשה תיעשה המנורה ירכה וקנה גביעיה כפתריה ופרחיה ממנה יהיו;813;כתיב יוד מלא
(2, 26, 24);Leningrad Codex;71;ויהיו תאמים מלמטה ויחדו יהיו תמים על ראשו אל הטבעת האחת כן יהיה לשניהם לשני המקצעת יהיו;887;כתיב יוד מלא
(2, 26, 24);Koren Codex;70;ויהיו תאמם מלמטה ויחדו יהיו תמים על ראשו אל הטבעת האחת כן יהיה לשניהם לשני המקצעת יהיו;883;כתיב יוד חסר
(2, 28, 26);Leningrad Codex;58;ועשית שתי טבעות זהב ושמת אתם על שני קצות החשן על שפתו אשר אל עבר האפד ביתה;945;כתיב ואו חסר
(2, 28, 26);Koren Codex;59;ועשית שתי טבעות זהב ושמת אתם על שני קצות החשן על שפתו אשר אל עבר האפוד ביתה;942;כתיב ואו מלא
(2, 28, 28);Leningrad Codex;70;וירכסו את החשן מטבעתו  אל טבעת האפד בפתיל תכלת להיות על חשב האפוד ולא יזח החשן מעל האפוד;1015;כתיב ואו חסר
(2, 28, 28);Koren Codex;71;וירכסו את החשן מטבעתו אל טבעת האפוד בפתיל תכלת להיות על חשב האפוד ולא יזח החשן מעל האפוד;1013;כתיב ואו מלא
(2, 29, 22);Leningrad Codex;99;ולקחת מן האיל החלב והאליה ואת החלב המכסה את הקרב ואת יתרת הכבד ואת שתי הכלית ואת החלב אשר עלהן ואת שוק הימין כי איל מלאים הוא;1114;כתיב יוד חסר
(2, 29, 22);Koren Codex;100;ולקחת מן האיל החלב והאליה ואת החלב המכסה את הקרב ואת יתרת הכבד ואת שתי הכלית ואת החלב אשר עליהן ואת שוק הימין כי איל מלאים הוא;1113;כתיב יוד מלא
(2, 29, 40);Leningrad Codex;51;ועשרן סלת בלול בשמן כתית רבע ההין ונסך רבעית ההין יין לכבש האחד;1165;יש שתיים: כתיב יוד חסר וכתיב יוד מלא
(2, 29, 40);Koren Codex;51;ועשרן סלת בלול בשמן כתית רבע ההין ונסך רביעת ההין יין לכבש האחד;1164;יש שתיים: כתיב יוד מלא וכתיב יוד חסר
(2, 32, 34);Leningrad Codex;67;ועתה לך נחה את העם אל אשר דברתי לך הנה מלאכי ילך לפניך וביום פקדי ופקדתי עליהם חטאתם;1232;כתיב יוד מלא
(2, 32, 34);Koren Codex;66;ועתה לך נחה את העם אל אשר דברתי לך הנה מלאכי ילך לפניך וביום פקדי ופקדתי עלהם חטאתם;1230;כתיב יוד חסר
(2, 34, 24);Leningrad Codex;82;כי אוריש גוים מפניך והרחבתי את גבולך ולא יחמד איש את ארצך בעלתך לראות את פני יהוה אלהיך שלש פעמים בשנה;1314;כתיב ואו מלא
(2, 34, 24);Koren Codex;81;כי אוריש גוים מפניך והרחבתי את גבלך ולא יחמד איש את ארצך בעלתך לראות את פני יהוה אלהיך שלש פעמים בשנה;1311;כתיב ואו חסר
(2, 36, 13);Leningrad Codex;54;ויעש חמשים קרסי זהב ויחבר את הירעת אחת אל אחת בקרסים ויהי המשכן אחד;1368;כתיב יוד חסר
(2, 36, 13);Koren Codex;55;ויעש חמשים קרסי זהב ויחבר את היריעת אחת אל אחת בקרסים ויהי המשכן אחד;1366;כתיב יוד מלא
(2, 36, 19);Leningrad Codex;44;ויעש מכסה לאהל ערת אלים מאדמים ומכסה ערת תחשים מלמעלה;1412;יש שתיים: כתיב יוד חסר וכתיב יוד מלא
(2, 36, 19);Koren Codex;44;ויעש מכסה לאהל ערת אילם מאדמים ומכסה ערת תחשים מלמעלה;1410;יש שתיים: כתיב יוד מלא וכתיב יוד חסר
(2, 37, 3);Leningrad Codex;67;ויצק לו ארבע טבעת זהב על ארבע פעמתיו ושתי טבעת על צלעו האחת ושתי טבעות על צלעו השנית;1479;כתיב ואו מלא
(2, 37, 3);Koren Codex;66;ויצק לו ארבע טבעת זהב על ארבע פעמתיו ושתי טבעת על צלעו האחת ושתי טבעת על צלעו השנית;1476;כתיב ואו חסר
(2, 38, 10);Leningrad Codex;47;עמודיהם עשרים ואדניהם עשרים נחשת ווי העמדים וחשקיהם כסף;1526;כתיב ואו חסר
(2, 38, 10);Koren Codex;48;עמודיהם עשרים ואדניהם עשרים נחשת ווי העמודים וחשקיהם כסף;1524;כתיב ואו מלא
(2, 39, 13);Leningrad Codex;44;והטור הרביעי תרשיש שהם וישפה מוסבת משבצות זהב במלאתם;1570;כתיב ואו מלא
(2, 39, 13);Koren Codex;43;והטור הרביעי תרשיש שהם וישפה מוסבת משבצת זהב במלאתם;1567;כתיב ואו חסר
(2, 39, 35);Leningrad Codex;24;את ארן העדת ואת בדיו ואת הכפרת;1594;כתיב ואו חסר
(2, 39, 35);Koren Codex;25;את ארון העדת ואת בדיו ואת הכפרת;1592;כתיב ואו מלא
;;;;;
;;;Difference Between Number of Letters in Leningrad Codex (Exodus) vs. Koren Codex (Exodus):;2;
;;;;;
;;;Leningrad Codex (Exodus) - Number of Letters;63531;
;;;Koren Codex (Exodus) - Number of Letters;63529;
;;;;;
;;;;2;
